Taxon	Count
"Archaea ""Crenarchaeota"" Thermoprotei Desulfurococcales Desulfurococcaceae Ignisphaera"	7
"Archaea ""Crenarchaeota"" Thermoprotei Desulfurococcales Pyrodictiaceae Pyrolobus"	2
"Archaea ""Crenarchaeota"" Thermoprotei Sulfolobales Sulfolobaceae Stygiolobus"	3
"Archaea ""Crenarchaeota"" Thermoprotei Thermoproteales Thermofilaceae Thermofilum"	3
"Archaea ""Euryarchaeota"" ""Methanomicrobia"" Methanocellales Methanocellaceae Methanocella"	7
"Archaea ""Euryarchaeota"" ""Methanomicrobia"" Methanosarcinales Methanosarcinaceae Methanimicrococcus"	1
"Archaea ""Euryarchaeota"" ""Methanomicrobia"" Methanosarcinales Methermicoccaceae Methermicoccus"	1
"Archaea ""Euryarchaeota"" Archaeoglobi Archaeoglobales Archaeoglobaceae Ferroglobus"	1
"Archaea ""Euryarchaeota"" Archaeoglobi Archaeoglobales Archaeoglobaceae Geoglobus"	1
"Archaea ""Euryarchaeota"" Halobacteria Halobacteriales Halobacteriaceae Haloplanus"	1
"Archaea ""Euryarchaeota"" Halobacteria Halobacteriales Halobacteriaceae Haloquadratum"	4
"Archaea ""Euryarchaeota"" Halobacteria Halobacteriales Halobacteriaceae Halosimplex"	1
"Archaea ""Euryarchaeota"" Halobacteria Halobacteriales Halobacteriaceae Natronobacterium"	2
"Archaea ""Euryarchaeota"" Halobacteria Halobacteriales Halobacteriaceae Natronomonas"	4
"Archaea ""Euryarchaeota"" Methanococci Methanococcales Methanocaldococcaceae Methanotorris"	1
"Archaea ""Euryarchaeota"" Methanopyri Methanopyrales Methanopyraceae Methanopyrus"	12
"Archaea ""Euryarchaeota"" Thermoplasmata Thermoplasmatales Thermoplasmatales_incertae_sedis Thermogymnomonas"	2
"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Acidothermaceae Acidothermus"	2
"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Beutenbergiaceae Salana"	1
"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Bogoriellaceae Bogoriella"	1
"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Cellulomonadaceae Tropheryma"	1
"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Corynebacteriaceae Turicella"	2
"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Cryptosporangiaceae Cryptosporangium"	53
"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Dermabacteraceae Dermabacter"	1
"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Dermabacteraceae Devriesea"	2
"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Dermatophilaceae Kineosphaera"	3
"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Frankineae_incertae_sedis Fodinicola"	1
"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Geodermatophilaceae Blastococcus"	99
"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Geodermatophilaceae Geodermatophilus"	17
"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Intrasporangiaceae Kribbia"	2
"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Microbacteriaceae Frondihabitans"	2
"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Microbacteriaceae Schumannella"	1
"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Micrococcaceae Acaricomes"	1
"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Micrococcaceae Kocuria"	98
"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Micrococcaceae Renibacterium"	17
"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Micromonosporaceae Catelliglobosispora"	63
"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Micromonosporaceae Krasilnikovia"	1
"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Micromonosporaceae Longispora"	9
"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Micromonosporaceae Planosporangium"	1
"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Micromonosporaceae Pseudosporangium"	1
"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Nakamurellaceae Humicoccus"	25
"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Nakamurellaceae Saxeibacter"	6
"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Promicromonosporaceae Myceligenerans"	3
"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Promicromonosporaceae Xylanibacterium"	2
"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Promicromonosporaceae Xylanimicrobium"	1
"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Propionibacteriaceae Aestuariimicrobium"	62
"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Propionibacteriaceae Brooklawnia"	2
"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Propionibacteriaceae Propionibacterium"	1161
"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Propionibacteriaceae Propionimicrobium"	3
"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Pseudonocardiaceae Allokutzneria"	2
"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Pseudonocardiaceae Sciscionella"	88
"Bacteria ""Actinobacteria"" Actinobacteria Bifidobacteriales Bifidobacteriaceae Alloscardovia"	1
"Bacteria ""Actinobacteria"" Actinobacteria Bifidobacteriales Bifidobacteriaceae Metascardovia"	1
"Bacteria ""Actinobacteria"" Actinobacteria Coriobacteriales Coriobacteriaceae Adlercreutzia"	1
"Bacteria ""Actinobacteria"" Actinobacteria Coriobacteriales Coriobacteriaceae Paraeggerthella"	3
"Bacteria ""Aquificae"" Aquificae Aquificales Aquificaceae Aquifex"	8
"Bacteria ""Aquificae"" Aquificae Aquificales Aquificaceae Hydrogenobaculum"	1
"Bacteria ""Aquificae"" Aquificae Aquificales Desulfurobacteriaceae Balnearium"	2
"Bacteria ""Bacteroidetes"" ""Bacteroidia"" ""Bacteroidales"" ""Marinilabiaceae"" Alkaliflexus"	1
"Bacteria ""Bacteroidetes"" ""Sphingobacteria"" ""Sphingobacteriales"" ""Chitinophagaceae"" Lacibacter"	1
"Bacteria ""Bacteroidetes"" ""Sphingobacteria"" ""Sphingobacteriales"" ""Cyclobacteriaceae"" Aquiflexum"	3
"Bacteria ""Bacteroidetes"" ""Sphingobacteria"" ""Sphingobacteriales"" ""Cyclobacteriaceae"" Belliella"	1
"Bacteria ""Bacteroidetes"" ""Sphingobacteria"" ""Sphingobacteriales"" ""Flammeovirgaceae"" Fabibacter"	2
"Bacteria ""Bacteroidetes"" ""Sphingobacteria"" ""Sphingobacteriales"" ""Flammeovirgaceae"" Flexithrix"	1
"Bacteria ""Bacteroidetes"" ""Sphingobacteria"" ""Sphingobacteriales"" ""Rhodothermaceae"" Rhodothermus"	2
"Bacteria ""Bacteroidetes"" ""Sphingobacteria"" ""Sphingobacteriales"" ""Saprospiraceae"" Haliscomenobacter"	1
"Bacteria ""Bacteroidetes"" ""Sphingobacteria"" ""Sphingobacteriales"" Cytophagaceae Microscilla"	2
"Bacteria ""Bacteroidetes"" ""Sphingobacteria"" ""Sphingobacteriales"" Cytophagaceae Persicitalea"	2
"Bacteria ""Bacteroidetes"" ""Sphingobacteria"" ""Sphingobacteriales"" Sphingobacteriaceae Mucilaginibacter"	1
"Bacteria ""Bacteroidetes"" ""Sphingobacteria"" ""Sphingobacteriales"" Sphingobacteriaceae Nubsella"	8
"Bacteria ""Bacteroidetes"" ""Sphingobacteria"" ""Sphingobacteriales"" Sphingobacteriaceae Pedobacter"	37
"Bacteria ""Bacteroidetes"" ""Sphingobacteria"" ""Sphingobacteriales"" Sphingobacteriaceae Pseudosphingobacterium"	6
"Bacteria ""Bacteroidetes"" ""Sphingobacteria"" ""Sphingobacteriales"" Sphingobacteriaceae Solitalea"	4
"Bacteria ""Bacteroidetes"" Flavobacteria ""Flavobacteriales"" Cryomorphaceae Crocinitomix"	1
"Bacteria ""Bacteroidetes"" Flavobacteria ""Flavobacteriales"" Cryomorphaceae Sediminitomix"	1
"Bacteria ""Bacteroidetes"" Flavobacteria ""Flavobacteriales"" Flavobacteriaceae Costertonia"	2
"Bacteria ""Bacteroidetes"" Flavobacteria ""Flavobacteriales"" Flavobacteriaceae Flavobacterium"	96
"Bacteria ""Bacteroidetes"" Flavobacteria ""Flavobacteriales"" Flavobacteriaceae Gilvibacter"	1
"Bacteria ""Bacteroidetes"" Flavobacteria ""Flavobacteriales"" Flavobacteriaceae Kriegella"	4
"Bacteria ""Bacteroidetes"" Flavobacteria ""Flavobacteriales"" Flavobacteriaceae Leptobacterium"	1
"Bacteria ""Bacteroidetes"" Flavobacteria ""Flavobacteriales"" Flavobacteriaceae Mesoflavibacter"	1
"Bacteria ""Bacteroidetes"" Flavobacteria ""Flavobacteriales"" Flavobacteriaceae Persicivirga"	2
"Bacteria ""Bacteroidetes"" Flavobacteria ""Flavobacteriales"" Flavobacteriaceae Robiginitalea"	1
"Bacteria ""Bacteroidetes"" Flavobacteria ""Flavobacteriales"" Flavobacteriaceae Sediminicola"	7
"Bacteria ""Bacteroidetes"" Flavobacteria ""Flavobacteriales"" Flavobacteriaceae Zunongwangia"	8
"Bacteria ""Chlamydiae"" Chlamydiae Chlamydiales Parachlamydiaceae Neochlamydia"	1
"Bacteria ""Chlamydiae"" Chlamydiae Chlamydiales Simkaniaceae Simkania"	3
"Bacteria ""Chlamydiae"" Chlamydiae Chlamydiales Waddliaceae Waddlia"	1
"Bacteria ""Chlorobi"" ""Chlorobia"" Chlorobiales Chlorobiaceae Chloroherpeton"	1
"Bacteria ""Chlorobi"" ""Chlorobia"" Chlorobiales Chlorobiaceae Prosthecochloris"	2
"Bacteria ""Chloroflexi"" Thermomicrobia Thermomicrobiales Thermomicrobiaceae Thermomicrobium"	5
"Bacteria ""Deferribacteres"" Deferribacteres Deferribacterales Deferribacteraceae Flexistipes"	5
"Bacteria ""Deinococcus-Thermus"" Deinococci Thermales Thermaceae Marinithermus"	5
"Bacteria ""Firmicutes"" ""Bacilli"" ""Lactobacillales"" ""Aerococcaceae"" Abiotrophia"	1
"Bacteria ""Firmicutes"" ""Bacilli"" ""Lactobacillales"" ""Enterococcaceae"" Melissococcus"	1
"Bacteria ""Firmicutes"" ""Bacilli"" ""Lactobacillales"" ""Enterococcaceae"" Pilibacter"	20
"Bacteria ""Firmicutes"" ""Bacilli"" ""Lactobacillales"" Streptococcaceae Lactovum"	12
"Bacteria ""Firmicutes"" ""Bacilli"" ""Lactobacillales"" Streptococcaceae Streptococcus"	196
"Bacteria ""Firmicutes"" ""Bacilli"" Bacillales ""Paenibacillaceae"" Thermicanus"	1
"Bacteria ""Firmicutes"" ""Bacilli"" Bacillales ""Staphylococcaceae"" Nosocomiicoccus"	3
"Bacteria ""Firmicutes"" ""Bacilli"" Bacillales ""Staphylococcaceae"" Staphylococcus"	80
"Bacteria ""Firmicutes"" ""Bacilli"" Bacillales Bacillaceae Anoxybacillus"	2
"Bacteria ""Firmicutes"" ""Bacilli"" Bacillales Bacillaceae Geobacillus"	2
"Bacteria ""Firmicutes"" ""Bacilli"" Bacillales Bacillaceae Jeotgalibacillus"	5
"Bacteria ""Firmicutes"" ""Bacilli"" Bacillales Bacillaceae Paucisalibacillus"	1
"Bacteria ""Firmicutes"" ""Bacilli"" Bacillales Bacillaceae Saccharococcus"	2
"Bacteria ""Firmicutes"" ""Bacilli"" Bacillales Bacillaceae Salirhabdus"	1
"Bacteria ""Firmicutes"" ""Clostridia"" ""Thermoanaerobacterales"" ""Thermoanaerobacteraceae"" Fervidicola"	2
"Bacteria ""Firmicutes"" ""Clostridia"" ""Thermoanaerobacterales"" ""Thermoanaerobacteraceae"" Gelria"	1
"Bacteria ""Firmicutes"" ""Clostridia"" ""Thermoanaerobacterales"" ""Thermoanaerobacteraceae"" Tepidanaerobacter"	2
"Bacteria ""Firmicutes"" ""Clostridia"" ""Thermoanaerobacterales"" ""Thermoanaerobacteraceae"" Thermacetogenium"	1
"Bacteria ""Firmicutes"" ""Clostridia"" Clostridiales ""Eubacteriaceae"" Pseudoramibacter"	1
"Bacteria ""Firmicutes"" ""Clostridia"" Clostridiales ""Heliobacteriaceae"" Heliobacillus"	7
"Bacteria ""Firmicutes"" ""Clostridia"" Clostridiales ""Lachnospiraceae"" Lachnobacterium"	2
"Bacteria ""Firmicutes"" ""Clostridia"" Clostridiales ""Lachnospiraceae"" Parasporobacterium"	4
"Bacteria ""Firmicutes"" ""Clostridia"" Clostridiales ""Ruminococcaceae"" Acetanaerobacterium"	3
"Bacteria ""Firmicutes"" ""Clostridia"" Clostridiales ""Ruminococcaceae"" Acetivibrio"	237
"Bacteria ""Firmicutes"" ""Clostridia"" Clostridiales ""Ruminococcaceae"" Anaerotruncus"	3
"Bacteria ""Firmicutes"" ""Clostridia"" Clostridiales ""Ruminococcaceae"" Butyricicoccus"	1
"Bacteria ""Firmicutes"" ""Clostridia"" Clostridiales ""Ruminococcaceae"" Faecalibacterium"	2
"Bacteria ""Firmicutes"" ""Clostridia"" Clostridiales ""Ruminococcaceae"" Papillibacter"	1
"Bacteria ""Firmicutes"" ""Clostridia"" Clostridiales Clostridiaceae Caminicella"	1
"Bacteria ""Firmicutes"" ""Clostridia"" Clostridiales Clostridiaceae Geosporobacter"	4
"Bacteria ""Firmicutes"" ""Clostridia"" Clostridiales Clostridiaceae Thermotalea"	5
"Bacteria ""Firmicutes"" ""Clostridia"" Clostridiales Incertae Sedis XI Anaerococcus"	62
"Bacteria ""Firmicutes"" ""Clostridia"" Clostridiales Incertae Sedis XI Finegoldia"	1
"Bacteria ""Firmicutes"" ""Clostridia"" Clostridiales Incertae Sedis XII Guggenheimella"	2
"Bacteria ""Firmicutes"" ""Clostridia"" Clostridiales Incertae Sedis XIV Howardella"	9
"Bacteria ""Firmicutes"" ""Clostridia"" Clostridiales Incertae Sedis XIV Proteiniborus"	4
"Bacteria ""Firmicutes"" ""Clostridia"" Clostridiales Peptococcaceae Desulfurispora"	3
"Bacteria ""Firmicutes"" ""Clostridia"" Clostridiales Syntrophomonadaceae Syntrophothermus"	1
"Bacteria ""Firmicutes"" ""Clostridia"" Clostridiales Veillonellaceae Acetonema"	1
"Bacteria ""Firmicutes"" ""Clostridia"" Clostridiales Veillonellaceae Allisonella"	1
"Bacteria ""Firmicutes"" ""Clostridia"" Clostridiales Veillonellaceae Anaeroglobus"	1
"Bacteria ""Firmicutes"" ""Clostridia"" Clostridiales Veillonellaceae Anaerovibrio"	1
